,x
3/15/2019,3.268
4/15/2019,3.82
5/15/2019,3.947
6/15/2019,3.717
7/15/2019,3.595
8/15/2019,3.482
9/15/2019,3.609
10/15/2019,4.04
11/15/2019,3.869
12/15/2019,3.531
1/15/2020,3.411
2/15/2020,3.364
3/15/2020,3.184
4/15/2020,2.744
5/15/2020,2.685
6/15/2020,2.889
7/15/2020,3.021
8/15/2020,3.074
9/15/2020,3.091
10/15/2020,3.052
11/15/2020,3.029
12/15/2020,3.057
1/15/2021,3.176
2/15/2021,3.347
3/15/2021,3.692
4/1/2021,3.685141256
5/1/2021,3.644549807
6/1/2021,3.592867972
7/1/2021,3.555673311
8/1/2021,3.528904857
9/1/2021,3.509639992
10/1/2021,3.49577535
11/1/2021,3.48579717
12/1/2021,3.47861602
1/1/2022,3.473447851
2/1/2022,3.469728396
3/1/2022,3.467051558
4/1/2022,3.465125077
5/1/2022,3.463738617
6/1/2022,3.462740802
7/1/2022,3.462022689
8/1/2022,3.461505873
9/1/2022,3.461133929
10/1/2022,3.460866246
11/1/2022,3.460673598
12/1/2022,3.460534953
1/1/2023,3.460435171
2/1/2023,3.46036336
3/1/2023,3.460311679
4/1/2023,3.460274485
5/1/2023,3.460247716
6/1/2023,3.460228452
7/1/2023,3.460214587
8/1/2023,3.460204609
9/1/2023,3.460197428
10/1/2023,3.46019226
11/1/2023,3.46018854
12/1/2023,3.460185864
1/1/2024,3.460183937
2/1/2024,3.460182551
3/1/2024,3.460181553
4/1/2024,3.460180835
5/1/2024,3.460180318
6/1/2024,3.460179946
7/1/2024,3.460179678
8/1/2024,3.460179486
9/1/2024,3.460179347
10/1/2024,3.460179247
11/1/2024,3.460179175
12/1/2024,3.460179124
1/1/2025,3.460179087
2/1/2025,3.46017906
3/1/2025,3.460179041
4/1/2025,3.460179027
5/1/2025,3.460179017
6/1/2025,3.460179009
7/1/2025,3.460179004
8/1/2025,3.460179001
9/1/2025,3.460178998
10/1/2025,3.460178996
11/1/2025,3.460178995
12/1/2025,3.460178994
1/1/2026,3.460178993
2/1/2026,3.460178992
3/1/2026,3.460178992
4/1/2026,3.460178992
5/1/2026,3.460178992
6/1/2026,3.460178991
7/1/2026,3.460178991
8/1/2026,3.460178991
9/1/2026,3.460178991
10/1/2026,3.460178991
11/1/2026,3.460178991
12/1/2026,3.460178991
1/1/2027,3.460178991
2/1/2027,3.460178991
3/1/2027,3.460178991
4/1/2027,3.460178991
5/1/2027,3.460178991
6/1/2027,3.460178991
7/1/2027,3.460178991
8/1/2027,3.460178991
9/1/2027,3.460178991
10/1/2027,3.460178991
11/1/2027,3.460178991
12/1/2027,3.460178991
1/1/2028,3.460178991
2/1/2028,3.460178991
3/1/2028,3.460178991
4/1/2028,3.460178991
5/1/2028,3.460178991
6/1/2028,3.460178991
7/1/2028,3.460178991
8/1/2028,3.460178991
9/1/2028,3.460178991
10/1/2028,3.460178991
11/1/2028,3.460178991
12/1/2028,3.460178991
1/1/2029,3.460178991
2/1/2029,3.460178991
3/1/2029,3.460178991
4/1/2029,3.460178991
5/1/2029,3.460178991
6/1/2029,3.460178991
7/1/2029,3.460178991
8/1/2029,3.460178991
9/1/2029,3.460178991
10/1/2029,3.460178991
11/1/2029,3.460178991
12/1/2029,3.460178991
1/1/2030,3.460178991
2/1/2030,3.460178991
3/1/2030,3.460178991
4/1/2030,3.460178991
5/1/2030,3.460178991
6/1/2030,3.460178991
7/1/2030,3.460178991
8/1/2030,3.460178991
9/1/2030,3.460178991
10/1/2030,3.460178991
11/1/2030,3.460178991
12/1/2030,3.460178991
1/1/2031,3.460178991
2/1/2031,3.460178991
3/1/2031,3.460178991
4/1/2031,3.460178991
5/1/2031,3.460178991
6/1/2031,3.460178991
7/1/2031,3.460178991
8/1/2031,3.460178991
9/1/2031,3.460178991
10/1/2031,3.460178991
11/1/2031,3.460178991
12/1/2031,3.460178991
1/1/2032,3.460178991
2/1/2032,3.460178991
3/1/2032,3.460178991
4/1/2032,3.460178991
5/1/2032,3.460178991
6/1/2032,3.460178991
7/1/2032,3.460178991
8/1/2032,3.460178991
9/1/2032,3.460178991
10/1/2032,3.460178991
11/1/2032,3.460178991
12/1/2032,3.460178991
1/1/2033,3.460178991
2/1/2033,3.460178991
3/1/2033,3.460178991
4/1/2033,3.460178991
5/1/2033,3.460178991
6/1/2033,3.460178991
7/1/2033,3.460178991
8/1/2033,3.460178991
9/1/2033,3.460178991
10/1/2033,3.460178991
11/1/2033,3.460178991
12/1/2033,3.460178991
1/1/2034,3.460178991
2/1/2034,3.460178991
3/1/2034,3.460178991
4/1/2034,3.460178991
5/1/2034,3.460178991
6/1/2034,3.460178991
7/1/2034,3.460178991
8/1/2034,3.460178991
9/1/2034,3.460178991
10/1/2034,3.460178991
11/1/2034,3.460178991
12/1/2034,3.460178991
1/1/2035,3.460178991
2/1/2035,3.460178991
3/1/2035,3.460178991
