,county,year,num_ev
221,Inyo,2011,0
222,Inyo,2012,0
223,Inyo,2013,0
224,Inyo,2014,1
225,Inyo,2015,0
226,Inyo,2016,3
227,Inyo,2017,3
228,Inyo,2018,10
229,Inyo,2019,4
230,Inyo,2020,13
231,Mono,2010,0
232,Mono,2011,0
233,Mono,2012,0
234,Mono,2013,0
235,Mono,2014,0
236,Mono,2015,2
237,Mono,2016,3
238,Mono,2017,2
239,Mono,2018,8
240,Mono,2019,10
241,Mono,2020,15
242,Shasta,2010,0
243,Shasta,2011,8
244,Shasta,2012,11
245,Shasta,2013,11
246,Shasta,2014,15
247,Shasta,2015,18
248,Shasta,2016,24
249,Shasta,2017,35
250,Shasta,2018,67
251,Shasta,2019,75
252,Shasta,2020,105
253,Del Norte,2010,0
254,Del Norte,2011,0
255,Del Norte,2012,0
256,Del Norte,2013,1
257,Del Norte,2014,2
258,Del Norte,2015,2
259,Del Norte,2016,2
260,Del Norte,2017,4
261,Del Norte,2018,4
262,Del Norte,2019,7
263,Del Norte,2020,6
264,Trinity,2010,0
265,Trinity,2011,1
266,Trinity,2012,1
267,Trinity,2013,0
268,Trinity,2014,1
269,Trinity,2015,1
270,Trinity,2016,0
271,Trinity,2017,0
272,Trinity,2018,2
273,Trinity,2019,2
274,Trinity,2020,7
275,Humboldt,2010,1
276,Humboldt,2011,9
277,Humboldt,2012,8
278,Humboldt,2013,14
279,Humboldt,2014,35
280,Humboldt,2015,35
281,Humboldt,2016,36
282,Humboldt,2017,38
283,Humboldt,2018,58
284,Humboldt,2019,77
285,Humboldt,2020,83
286,San Joaquin,2010,1
287,San Joaquin,2011,18
288,San Joaquin,2012,19
289,San Joaquin,2013,97
290,San Joaquin,2014,164
291,San Joaquin,2015,212
292,San Joaquin,2016,248
293,San Joaquin,2017,291
294,San Joaquin,2018,664
295,San Joaquin,2019,870
296,San Joaquin,2020,1075
297,San Mateo,2010,39
298,San Mateo,2011,294
299,San Mateo,2012,297
300,San Mateo,2013,1310
301,San Mateo,2014,1510
302,San Mateo,2015,2060
303,San Mateo,2016,1942
304,San Mateo,2017,2113
305,San Mateo,2018,5067
306,San Mateo,2019,4631
307,San Mateo,2020,4367
308,San Diego,2010,28
309,San Diego,2011,889
310,San Diego,2012,665
311,San Diego,2013,1697
312,San Diego,2014,2474
313,San Diego,2015,3160
314,San Diego,2016,2798
315,San Diego,2017,3254
316,San Diego,2018,7515
317,San Diego,2019,7500
318,San Diego,2020,9182
319,Stanislaus,2010,0
320,Stanislaus,2011,8
321,Stanislaus,2012,6
322,Stanislaus,2013,34
323,Stanislaus,2014,54
324,Stanislaus,2015,146
325,Stanislaus,2016,155
326,Stanislaus,2017,169
327,Stanislaus,2018,234
328,Stanislaus,2019,287
329,Stanislaus,2020,387
330,Calaveras,2010,0
331,Calaveras,2011,2
332,Calaveras,2012,3
333,Calaveras,2013,10
334,Calaveras,2014,2
335,Calaveras,2015,8
336,Calaveras,2016,9
337,Calaveras,2017,9
338,Calaveras,2018,24
339,Calaveras,2019,25
340,Calaveras,2020,34
341,Imperial,2010,0
342,Imperial,2011,0
343,Imperial,2012,1
344,Imperial,2013,4
345,Imperial,2014,8
346,Imperial,2015,8
347,Imperial,2016,7
348,Imperial,2017,10
349,Imperial,2018,19
350,Imperial,2019,38
351,Imperial,2020,40
352,Solano,2010,0
353,Solano,2011,20
354,Solano,2012,16
355,Solano,2013,83
356,Solano,2014,151
357,Solano,2015,207
358,Solano,2016,150
359,Solano,2017,212
360,Solano,2018,496
361,Solano,2019,604
362,Solano,2020,691
363,Glenn,2010,0
364,Glenn,2011,0
365,Glenn,2012,0
366,Glenn,2013,0
367,Glenn,2014,1
368,Glenn,2015,2
369,Glenn,2016,1
370,Glenn,2017,0
371,Glenn,2018,3
372,Glenn,2019,4
373,Glenn,2020,13
374,Napa,2010,3
375,Napa,2011,20
376,Napa,2012,15
377,Napa,2013,80
378,Napa,2014,110
379,Napa,2015,137
380,Napa,2016,133
381,Napa,2017,143
382,Napa,2018,299
383,Napa,2019,285
384,Napa,2020,367
385,Tulare,2010,0
386,Tulare,2011,9
387,Tulare,2012,14
388,Tulare,2013,19
389,Tulare,2014,25
390,Tulare,2015,40
391,Tulare,2016,54
392,Tulare,2017,197
393,Tulare,2018,122
394,Tulare,2019,135
395,Tulare,2020,195
396,Siskiyou,2010,0
397,Siskiyou,2011,0
398,Siskiyou,2012,2
399,Siskiyou,2013,0
400,Siskiyou,2014,0
401,Siskiyou,2015,5
402,Siskiyou,2016,5
403,Siskiyou,2017,8
404,Siskiyou,2018,8
405,Siskiyou,2019,9
406,Siskiyou,2020,11
407,Sacramento,2010,3
408,Sacramento,2011,67
409,Sacramento,2012,123
410,Sacramento,2013,430
411,Sacramento,2014,584
412,Sacramento,2015,663
413,Sacramento,2016,520
414,Sacramento,2017,736
415,Sacramento,2018,1977
416,Sacramento,2019,1968
417,Sacramento,2020,2416
418,Monterey,2010,2
419,Monterey,2011,15
420,Monterey,2012,15
421,Monterey,2013,88
422,Monterey,2014,127
423,Monterey,2015,159
424,Monterey,2016,154
425,Monterey,2017,178
426,Monterey,2018,424
427,Monterey,2019,386
428,Monterey,2020,478
429,Kings,2010,0
430,Kings,2011,1
431,Kings,2012,1
432,Kings,2013,6
433,Kings,2014,9
434,Kings,2015,6
435,Kings,2016,16
436,Kings,2017,39
437,Kings,2018,27
438,Kings,2019,29
439,Kings,2020,45
440,El Dorado,2010,0
441,El Dorado,2011,19
442,El Dorado,2012,22
443,El Dorado,2013,94
444,El Dorado,2014,104
445,El Dorado,2015,113
446,El Dorado,2016,106
447,El Dorado,2017,153
448,El Dorado,2018,359
449,El Dorado,2019,350
450,El Dorado,2020,449
451,San Bernardino,2010,1
452,San Bernardino,2011,38
453,San Bernardino,2012,82
454,San Bernardino,2013,299
455,San Bernardino,2014,437
456,San Bernardino,2015,530
457,San Bernardino,2016,531
458,San Bernardino,2017,736
459,San Bernardino,2018,1643
460,San Bernardino,2019,2102
461,San Bernardino,2020,2661
462,Tehama,2010,0
463,Tehama,2011,1
464,Tehama,2012,2
465,Tehama,2013,2
466,Tehama,2014,3
467,Tehama,2015,2
468,Tehama,2016,2
469,Tehama,2017,1
470,Tehama,2018,4
471,Tehama,2019,12
472,Tehama,2020,22
473,Santa Barbara,2010,7
474,Santa Barbara,2011,55
475,Santa Barbara,2012,43
476,Santa Barbara,2013,169
477,Santa Barbara,2014,186
478,Santa Barbara,2015,204
479,Santa Barbara,2016,274
480,Santa Barbara,2017,344
481,Santa Barbara,2018,729
482,Santa Barbara,2019,674
483,Santa Barbara,2020,1020
484,Kern,2010,0
485,Kern,2011,15
486,Kern,2012,22
487,Kern,2013,75
488,Kern,2014,116
489,Kern,2015,231
490,Kern,2016,151
491,Kern,2017,199
492,Kern,2018,289
493,Kern,2019,359
494,Kern,2020,490
495,Colusa,2010,0
496,Colusa,2011,0
497,Colusa,2012,0
498,Colusa,2013,0
499,Colusa,2014,2
500,Colusa,2015,2
501,Colusa,2016,0
502,Colusa,2017,1
503,Colusa,2018,2
504,Colusa,2019,0
505,Colusa,2020,1
506,Merced,2010,0
507,Merced,2011,2
508,Merced,2012,3
509,Merced,2013,10
510,Merced,2014,23
511,Merced,2015,26
512,Merced,2016,36
513,Merced,2017,42
514,Merced,2018,59
515,Merced,2019,87
516,Merced,2020,121
517,San Francisco,2010,20
518,San Francisco,2011,132
519,San Francisco,2012,193
520,San Francisco,2013,581
521,San Francisco,2014,843
522,San Francisco,2015,1078
523,San Francisco,2016,1083
524,San Francisco,2017,1268
525,San Francisco,2018,3027
526,San Francisco,2019,2760
527,San Francisco,2020,3545
528,Lake,2010,1
529,Lake,2011,3
530,Lake,2012,3
531,Lake,2013,5
532,Lake,2014,15
533,Lake,2015,12
534,Lake,2016,8
535,Lake,2017,18
536,Lake,2018,24
537,Lake,2019,28
538,Lake,2020,34
539,Nevada,2010,0
540,Nevada,2011,3
541,Nevada,2012,8
542,Nevada,2013,23
543,Nevada,2014,19
544,Nevada,2015,51
545,Nevada,2016,34
546,Nevada,2017,55
547,Nevada,2018,105
548,Nevada,2019,102
549,Nevada,2020,187
550,Orange,2010,35
551,Orange,2011,371
552,Orange,2012,460
553,Orange,2013,2177
554,Orange,2014,2740
555,Orange,2015,3869
556,Orange,2016,4560
557,Orange,2017,5211
558,Orange,2018,10908
559,Orange,2019,11547
560,Orange,2020,13876
561,Sierra,2010,0
562,Sierra,2011,0
563,Sierra,2012,0
564,Sierra,2013,0
565,Sierra,2014,0
566,Sierra,2015,0
567,Sierra,2016,0
568,Sierra,2017,0
569,Sierra,2018,0
570,Sierra,2019,0
571,Sierra,2020,3
572,Alameda,2010,13
573,Alameda,2011,373
574,Alameda,2012,374
575,Alameda,2013,1795
576,Alameda,2014,2970
577,Alameda,2015,3770
578,Alameda,2016,3264
579,Alameda,2017,3956
580,Alameda,2018,8357
581,Alameda,2019,8290
582,Alameda,2020,7492
