"","county","year","total_chargers","csum"
"178","Modoc",2016,2,2
"179","Modoc",2018,2,4
"180","Mono",2015,23,23
"181","Mono",2016,4,27
"182","Mono",2018,1,28
"183","Mono",NA,4,32
"184","Monterey",2008,0,0
"185","Monterey",2009,1,1
"186","Monterey",2011,6,7
"187","Monterey",2012,1,8
"188","Monterey",2013,4,12
"189","Monterey",2015,29,41
"190","Monterey",2016,10,51
"191","Monterey",2017,18,69
"192","Monterey",2018,45,114
"193","Monterey",2019,15,129
"194","Monterey",2020,32,161
"195","Monterey",NA,171,332
"196","Napa",2011,2,2
"197","Napa",2012,3,5
"198","Napa",2015,32,37
"199","Napa",2016,55,92
"200","Napa",2017,14,106
"201","Napa",2018,31,137
"202","Napa",2019,22,159
"203","Napa",2020,24,183
"204","Napa",NA,89,272
"205","Nevada",2013,4,4
"206","Nevada",2014,11,15
"207","Nevada",2015,12,27
"208","Nevada",2016,2,29
"209","Nevada",2017,6,35
"210","Nevada",2019,15,50
"211","Nevada",NA,60,110
"212","Orange",2002,10,10
"213","Orange",2011,27,37
"214","Orange",2012,21,58
"215","Orange",2013,20,78
"216","Orange",2014,16,94
"217","Orange",2015,46,140
"218","Orange",2016,83,223
"219","Orange",2017,52,275
"220","Orange",2018,139,414
"221","Orange",2019,166,580
"222","Orange",2020,223,803
"223","Orange",NA,2206,3009
"224","Placer",1998,1,1
"225","Placer",2008,3,4
"226","Placer",2011,16,20
"227","Placer",2012,9,29
"228","Placer",2013,23,52
"229","Placer",2014,11,63
"230","Placer",2015,33,96
"231","Placer",2016,1,97
"232","Placer",2019,16,113
"233","Placer",2020,34,147
"234","Placer",NA,123,270
"235","Plumas",2019,1,1
"236","Plumas",2020,2,3
"237","Riverside",1997,4,4
"238","Riverside",1998,3,7
"239","Riverside",2011,80,87
"240","Riverside",2012,19,106
"241","Riverside",2013,46,152
"242","Riverside",2014,12,164
"243","Riverside",2015,62,226
"244","Riverside",2016,41,267
"245","Riverside",2017,20,287
"246","Riverside",2018,97,384
"247","Riverside",2019,139,523
"248","Riverside",2020,116,639
"249","Riverside",NA,632,1271
"250","Sacramento",1998,4,4
"251","Sacramento",2004,7,11
"252","Sacramento",2011,90,101
"253","Sacramento",2012,48,149
"254","Sacramento",2013,43,192
"255","Sacramento",2014,39,231
"256","Sacramento",2015,18,249
"257","Sacramento",2016,68,317
"258","Sacramento",2017,12,329
"259","Sacramento",2018,51,380
"260","Sacramento",2019,73,453
"261","Sacramento",2020,29,482
"262","Sacramento",NA,538,1020
"263","San Benito",2018,20,20
"264","San Benito",NA,20,40
"265","San Bernardino",1998,1,1
"266","San Bernardino",2011,17,18
"267","San Bernardino",2012,24,42
"268","San Bernardino",2013,28,70
"269","San Bernardino",2014,5,75
"270","San Bernardino",2015,25,100
"271","San Bernardino",2016,133,233
"272","San Bernardino",2017,55,288
"273","San Bernardino",2018,103,391
"274","San Bernardino",2019,54,445
"275","San Bernardino",2020,44,489
"276","San Bernardino",NA,508,997
"277","San Diego",1997,1,1
"278","San Diego",2011,24,25
"279","San Diego",2012,12,37
"280","San Diego",2013,164,201
"281","San Diego",2014,16,217
"282","San Diego",2015,100,317
"283","San Diego",2016,82,399
"284","San Diego",2017,40,439
"285","San Diego",2018,132,571
"286","San Diego",2019,203,774
"287","San Diego",2020,114,888
"288","San Diego",2021,2,890
"289","San Diego",NA,1721,2611
"290","San Joaquin",2011,4,4
"291","San Joaquin",2012,2,6
"292","San Joaquin",2013,5,11
"293","San Joaquin",2014,7,18
"294","San Joaquin",2015,25,43
"295","San Joaquin",2016,8,51
"296","San Joaquin",2017,7,58
"297","San Joaquin",2018,7,65
"298","San Joaquin",2019,29,94
"299","San Joaquin",2020,40,134
"300","San Joaquin",NA,103,237
"301","San Luis Obispo",2000,10,10
"302","San Luis Obispo",2002,2,12
"303","San Luis Obispo",2011,5,17
"304","San Luis Obispo",2012,8,25
"305","San Luis Obispo",2013,12,37
"306","San Luis Obispo",2014,3,40
"307","San Luis Obispo",2015,51,91
"308","San Luis Obispo",2016,48,139
"309","San Luis Obispo",2017,11,150
"310","San Luis Obispo",2018,59,209
"311","San Luis Obispo",2019,16,225
"312","San Luis Obispo",2020,50,275
"313","San Luis Obispo",NA,119,394
"314","San Mateo",1998,1,1
"315","San Mateo",2002,2,3
"316","San Mateo",2009,3,6
"317","San Mateo",2011,13,19
"318","San Mateo",2012,24,43
"319","San Mateo",2013,14,57
"320","San Mateo",2014,22,79
"321","San Mateo",2015,31,110
"322","San Mateo",2016,33,143
"323","San Mateo",2017,47,190
"324","San Mateo",2018,173,363
"325","San Mateo",2019,174,537
"326","San Mateo",2020,305,842
"327","San Mateo",NA,2479,3321
"328","Santa Barbara",2011,5,5
"329","Santa Barbara",2012,2,7
"330","Santa Barbara",2013,36,43
"331","Santa Barbara",2014,13,56
"332","Santa Barbara",2015,23,79
"333","Santa Barbara",2016,14,93
"334","Santa Barbara",2017,9,102
"335","Santa Barbara",2018,11,113
"336","Santa Barbara",2019,9,122
"337","Santa Barbara",2020,45,167
"338","Santa Barbara",NA,150,317
"339","Santa Clara",2008,2,2
"340","Santa Clara",2011,34,36
"341","Santa Clara",2012,26,62
"342","Santa Clara",2013,22,84
"343","Santa Clara",2014,146,230
"344","Santa Clara",2015,17,247
"345","Santa Clara",2016,24,271
"346","Santa Clara",2017,128,399
"347","Santa Clara",2018,328,727
"348","Santa Clara",2019,320,1047
"349","Santa Clara",2020,487,1534
"350","Santa Clara",2021,2,1536
"351","Santa Clara",NA,2498,4034
"352","Santa Cruz",1998,5,5
"353","Santa Cruz",2012,2,7
"354","Santa Cruz",2014,1,8
"355","Santa Cruz",2015,6,14
"356","Santa Cruz",2017,4,18
"357","Santa Cruz",2018,10,28
"358","Santa Cruz",2019,23,51
"359","Santa Cruz",2020,28,79
"360","Santa Cruz",NA,91,170
"361","Shasta",2011,2,2
"362","Shasta",2014,12,14
"363","Shasta",2015,5,19
"364","Shasta",2019,4,23
"365","Shasta",2020,7,30
"366","Shasta",NA,14,44
"367","Sierra",2015,1,1
"368","Siskiyou",2018,22,22
"369","Siskiyou",NA,29,51
"370","Solano",2004,10,10
"371","Solano",2005,11,21
"372","Solano",2006,1,22
"373","Solano",2008,2,24
"374","Solano",2009,2,26
"375","Solano",2011,4,30
"376","Solano",2012,10,40
"377","Solano",2013,22,62
"378","Solano",2015,4,66
"379","Solano",2017,2,68
"380","Solano",2018,12,80
"381","Solano",2019,32,112
"382","Solano",2020,14,126
"383","Solano",NA,145,271
"384","Sonoma",2011,13,13
"385","Sonoma",2012,1,14
"386","Sonoma",2014,2,16
"387","Sonoma",2015,46,62
"388","Sonoma",2016,38,100
"389","Sonoma",2017,28,128
"390","Sonoma",2018,10,138
"391","Sonoma",2019,74,212
"392","Sonoma",2020,45,257
"393","Sonoma",NA,263,520
"394","Stanislaus",2011,2,2
"395","Stanislaus",2013,2,4
"396","Stanislaus",2015,13,17
"397","Stanislaus",2016,14,31
"398","Stanislaus",2017,6,37
"399","Stanislaus",2018,13,50
"400","Stanislaus",2020,21,71
"401","Stanislaus",NA,36,107
"402","Sutter",2015,1,1
"403","Sutter",2019,10,11
"404","Sutter",2020,3,14
"405","Sutter",NA,9,23
"406","Tehama",2013,8,8
"407","Tehama",2015,3,11
"408","Tehama",2019,8,19
"409","Tehama",NA,9,28
"410","Trinity",2017,2,2
"411","Trinity",NA,4,6
"412","Tulare",2011,4,4
"413","Tulare",2012,1,5
"414","Tulare",2015,5,10
"415","Tulare",2016,4,14
"416","Tulare",2017,2,16
"417","Tulare",2019,20,36
"418","Tulare",2020,50,86
"419","Tulare",NA,77,163
"420","Tuolumne",2014,1,1
"421","Tuolumne",2015,4,5
"422","Tuolumne",2016,5,10
"423","Tuolumne",2017,15,25
"424","Tuolumne",NA,14,39
"425","Ventura",1998,1,1
"426","Ventura",2002,15,16
"427","Ventura",2011,7,23
"428","Ventura",2012,11,34
"429","Ventura",2013,10,44
"430","Ventura",2014,38,82
"431","Ventura",2015,21,103
"432","Ventura",2016,2,105
"433","Ventura",2017,44,149
"434","Ventura",2018,3,152
"435","Ventura",2019,139,291
